Name,cfc2020_10_01run002
Time,2020/10/01 01:28 PM
Notes,1um silica 
User,Cheong Fook Chiong
Sample,Beads
Sample notes,
Sample refractive index,1.34
Measured volume,2.00 μL
Viscosity,1-2 cP
Laser,0.447 μm (Blue)
Temperature,26.7 °C
Channel,2


,d [μm],d uncertainty [μm],n,n uncertainty,z [μm],z uncertainty [μm],v [μm / s],timestamp [s],symmetry
183,2.0692,0.0407,1.3694,0.0025,68.0103,0.3191,2820.8737,25.2225,Non-spherical
184,2.1896,0.5073,1.3924,0.0185,51.4692,0.3953,1047.7946,25.4723,Non-spherical
185,0.5201,0.0636,1.4374,0.0344,58.1336,2.4392,1633.3001,25.4956,Non-spherical
186,1.1053,0.0406,1.4166,0.0105,72.1318,0.2534,3501.6669,25.7288,Spherical
187,1.5670,0.3151,1.3443,0.2532,41.1530,1.3451,11.9559,25.8087,Non-spherical
188,1.0146,0.0291,1.4401,0.0095,73.1108,0.1516,3260.4374,26.0618,Spherical
189,1.7802,0.0459,1.3787,0.0034,59.9708,0.3400,2235.2291,26.1951,Non-spherical
190,0.7993,0.0773,1.3852,0.0352,65.6752,0.2777,2684.4349,26.1951,Non-spherical
191,0.9694,0.0269,1.4407,0.0085,59.5479,0.2670,2033.8497,26.3016,Spherical
192,1.3741,0.0730,1.4166,0.0148,80.4727,0.2615,2876.3266,26.3283,Spherical
193,1.0500,0.0257,1.4415,0.0082,90.4243,0.1859,1868.1936,26.3749,Spherical
194,2.2064,0.1752,1.3474,0.0015,61.4502,0.1556,2180.4506,26.5148,Non-spherical
195,0.9930,0.0347,1.4416,0.0072,76.7118,0.2785,2814.1035,26.5481,Spherical
196,1.1141,0.0294,1.4261,0.0050,65.5941,0.1464,2874.5215,26.8945,Non-spherical
197,1.1063,0.0304,1.4187,0.0044,87.0385,0.2160,2369.7239,27.1210,Spherical
198,1.1116,0.0543,1.4139,0.0077,89.8821,0.2779,1925.8665,27.2342,Spherical
199,1.5311,0.1169,1.3908,0.0092,87.6800,0.4834,1900.8104,27.5473,Spherical
200,0.3201,0.0806,1.6027,0.1008,62.8807,0.2316,2118.0371,27.6938,Non-spherical
201,2.9505,0.1049,1.3610,0.0015,77.3376,0.6021,3338.2906,27.7604,Non-spherical
202,1.0691,0.0419,1.4307,0.0054,68.7746,0.2024,3221.0748,27.8004,Spherical
203,1.0371,0.0328,1.4482,0.0116,68.9417,0.1829,3261.3750,27.8071,Spherical
204,1.5525,0.0998,1.4200,0.0207,69.4871,0.3865,3198.1687,27.8803,Non-spherical
205,0.6988,0.2369,1.3461,0.0372,60.7050,5.6502,2197.8920,27.9403,Non-spherical
206,1.0727,0.0574,1.4430,0.0186,55.4374,0.1318,1451.5244,27.9869,Non-spherical
207,0.9541,0.0334,1.4688,0.0089,70.6489,0.1674,3082.8625,28.0335,Spherical
208,1.0460,0.0258,1.4338,0.0089,64.2980,0.1633,2513.4982,28.2500,Spherical
209,1.9036,0.0860,1.3428,0.0003,60.0481,0.3276,2242.3299,28.3333,Non-spherical
210,1.1334,0.0275,1.4286,0.0070,91.9215,0.3130,1572.3112,28.5731,Spherical
211,1.3277,0.0267,1.4216,0.0046,70.5721,0.1690,3356.6088,28.8529,Spherical
212,1.8139,0.1184,1.3782,0.0232,54.7094,0.2798,1509.1019,28.8862,Non-spherical
213,1.6384,0.0969,1.3795,0.0073,84.1407,0.4283,2626.1232,29.1326,Non-spherical
214,0.9958,0.0204,1.4481,0.0042,59.4658,0.3186,2062.8289,29.1726,Spherical
215,1.6532,0.1076,1.3466,0.0014,93.2874,0.4249,1380.4036,29.2958,Non-spherical
216,1.2518,0.0715,1.3485,0.0018,61.1556,0.2554,2237.5433,29.3125,Non-spherical
217,1.6710,0.0338,1.4069,0.0054,75.4172,0.2670,3509.4433,29.9853,Spherical
218,0.5943,0.2089,1.4365,0.0471,76.2181,2.3102,3451.9445,30.0419,Non-spherical
219,1.0734,0.0403,1.4250,0.0111,75.2750,0.1879,3273.3844,30.0985,Spherical
220,1.8226,0.0304,1.3732,0.0010,84.4612,0.2154,2793.6320,30.2051,Non-spherical
221,1.7769,0.0240,1.3737,0.0018,70.9074,0.1631,3268.1912,30.2184,Non-spherical
222,1.0064,0.0233,1.4407,0.0048,79.0799,0.1935,3238.3524,30.2317,Spherical
223,4.2095,0.3552,1.3545,0.0049,59.8729,4.0519,3038.0020,30.2850,Non-spherical
224,1.6356,0.1352,1.3458,0.0016,60.9553,0.6302,2406.3599,30.3450,Non-spherical
225,1.0389,0.0173,1.4279,0.0060,89.3138,0.1718,2034.0380,30.5182,Spherical
226,1.6663,0.0615,1.4084,0.0067,69.7875,0.2411,2681.6315,30.8112,Spherical
227,1.8078,0.0222,1.3733,0.0007,58.0418,0.2646,1753.9960,30.8779,Non-spherical
228,1.1676,0.0536,1.4772,0.0159,78.1253,0.1540,3411.3846,31.1110,Spherical
229,1.1148,0.0367,1.4214,0.0059,66.8991,0.2103,2998.7760,31.2176,Spherical
230,2.1641,0.1854,1.3670,0.0110,61.4450,0.4090,2594.8822,31.2575,Non-spherical
231,0.7284,0.0410,1.4327,0.0185,66.1146,0.2754,2897.8572,31.3175,Non-spherical
232,0.9995,0.0494,1.4447,0.0159,63.6644,0.3367,2684.7174,31.3508,Spherical
233,1.0206,0.0071,1.4391,0.0028,53.2146,0.1561,930.1973,31.4174,Spherical
234,1.0866,0.0388,1.4283,0.0110,83.9533,0.2030,2690.6502,31.3841,Spherical
235,3.7937,0.1347,1.3554,0.0007,56.0372,1.6679,2016.5934,32.1968,Non-spherical
236,1.3735,0.0953,1.4185,0.0150,67.9556,0.1400,3043.9745,32.4765,Non-spherical
237,1.9390,0.1184,1.3429,0.0011,40.3953,0.7322,81.5259,32.5298,Non-spherical
238,1.7838,0.0583,1.3786,0.0043,59.4464,0.2350,2194.3928,32.5831,Non-spherical
239,2.6010,0.2113,1.3711,0.0079,66.1510,0.7208,2982.4679,32.5765,Non-spherical
240,1.8011,0.0395,1.4060,0.0052,80.1175,0.2273,2980.3923,32.7030,Spherical
241,0.6941,0.0671,1.4125,0.0098,68.8962,0.2579,2669.4950,33.0760,Spherical
242,0.7228,0.0956,1.3736,0.0062,65.3337,0.1762,2782.8200,33.4890,Non-spherical
243,1.5499,0.1399,1.4448,0.0171,64.0027,0.3439,2884.9696,33.4957,Non-spherical
244,0.5452,0.0172,1.8548,0.0197,67.9471,0.2326,2784.0227,33.6489,Non-spherical
245,0.3282,0.0083,2.0107,0.0949,53.0607,0.3054,1011.4071,34.5382,Non-spherical
246,1.7288,0.1018,1.3783,0.0090,81.9736,0.4107,2867.5226,34.5082,Spherical
247,1.4792,0.0145,1.4124,0.0038,54.6720,0.1500,1270.2644,34.6481,Spherical
248,0.9785,0.0230,1.4563,0.0093,69.2622,0.2124,3096.6864,34.6148,Spherical
249,1.0586,0.0198,1.4461,0.0061,53.5321,0.1255,1024.1649,34.6814,Spherical
250,0.7056,0.1105,1.3982,0.0407,65.4657,0.2417,2572.3865,34.9412,Spherical
251,0.7469,0.0613,1.3988,0.0238,59.9767,0.1730,1840.8059,35.1277,Spherical
252,1.5332,0.1333,1.3984,0.0232,61.7100,0.1922,2656.4398,35.3941,Spherical
253,1.8409,0.0475,1.3772,0.0036,60.9334,0.1555,2481.7854,35.5007,Spherical
254,2.1545,0.0462,1.3822,0.0023,67.6464,0.3187,3086.9622,35.6073,Non-spherical
255,0.9951,0.0242,1.4526,0.0080,81.9152,0.1648,2907.2968,35.8804,Spherical
256,1.0766,0.0322,1.4242,0.0089,67.7116,0.1914,2719.0045,36.0203,Spherical
257,1.0761,0.0174,1.4345,0.0050,82.6280,0.2010,2486.6977,36.2734,Spherical
258,0.5653,0.0081,1.7975,0.0149,76.5706,0.3259,3485.6437,36.4199,Non-spherical
259,0.9245,0.1235,1.3667,0.0505,61.9063,0.2008,2531.7755,36.6930,Non-spherical
260,1.7712,0.0483,1.3827,0.0035,60.4446,0.2379,2300.7989,36.7064,Non-spherical
261,1.0857,0.0539,1.4336,0.0097,77.8768,0.2682,3248.5028,36.7064,Spherical
262,0.5040,0.0220,1.4722,0.0130,65.4988,0.0237,2569.5004,37.1194,Non-spherical
263,1.0084,0.0237,1.4371,0.0057,95.1387,0.2490,1271.5068,37.1726,Spherical
264,1.8414,0.0180,1.3709,0.0014,66.3962,0.2131,2780.5696,37.3592,Non-spherical
265,0.3387,0.0070,1.8981,0.0551,68.8161,0.3012,3258.5354,37.4158,Non-spherical
266,1.0576,0.0309,1.4349,0.0082,69.9931,0.1851,3349.5822,37.4258,Spherical
267,0.9869,0.0216,1.4505,0.0059,82.5113,0.1549,3269.1851,37.4924,Spherical
268,1.8550,0.0513,1.3749,0.0019,70.5079,0.2314,2828.6612,38.0453,Non-spherical
269,1.0413,0.0304,1.4375,0.0070,89.6822,0.1583,2121.2228,38.1119,Spherical
