,Unnamed: 0,d_p,dd_p,n_p,dn_p,z_p,z uncertainty [μm],v [μm / s],timestamp [s],symmetry,label
135,135,1.0581,0.0379,1.4296,0.0038,76.2088,0.2116,2861.456,20.9594,0,monomer
138,138,0.9869,0.0171,1.4496,0.0069,56.9521,0.228,1521.8661,21.1726,0,monomer
145,145,1.7275,0.1383,1.4143,0.0124,61.6961,0.9174,2453.8949,22.3582,1,dimer
146,146,1.0919,0.0283,1.4263,0.0072,56.3096,0.2973,1838.2717,22.4382,0,monomer
150,150,1.1753,0.0452,1.4183,0.0092,83.5422,0.3188,2697.2289,22.8378,1,monomer
151,151,1.0919,0.0336,1.433,0.0054,74.7895,0.2235,3182.3856,22.8378,0,monomer
153,153,1.8566,0.0308,1.4054,0.0035,84.8741,0.111,2743.5946,22.9178,0,dimer
154,154,1.5062,0.1509,1.4059,0.019,63.7933,0.2315,2691.4194,22.9311,0,dimer
156,156,1.7083,0.0753,1.3986,0.0076,77.5047,0.5127,4300.8764,23.3241,0,dimer
157,157,1.0576,0.0222,1.4309,0.0061,53.5544,0.1973,1429.065,23.3508,0,monomer
158,158,1.001,0.0167,1.4435,0.0054,82.729,0.2617,3906.2439,23.4307,0,monomer
160,160,1.0254,0.0424,1.4434,0.0116,84.0961,0.255,4250.6979,23.4806,0,monomer
162,162,0.7149,0.0475,1.4338,0.02,65.7748,0.1696,4134.1732,23.5406,0,extra
164,164,1.4325,0.041,1.4202,0.0023,73.1559,0.2089,4414.3158,23.6538,0,dimer
166,166,1.8761,0.0991,1.4085,0.0074,66.9802,0.4798,4212.341,23.6938,1,dimer
167,167,1.8545,0.0848,1.3759,0.0078,91.3035,0.3475,1990.7327,23.9836,1,dimer
168,168,1.0088,0.054,1.4456,0.0113,76.2541,0.1609,3750.7412,24.0568,0,monomer
169,169,1.0149,0.0633,1.4438,0.0169,84.0126,0.2195,2942.1274,24.1701,0,monomer
170,170,1.7568,0.0261,1.4084,0.0053,72.8575,0.1198,3395.3652,24.2767,0,dimer
171,171,1.1226,0.0548,1.4293,0.0125,65.0217,0.1591,2796.1426,24.3166,0,monomer
173,173,1.0565,0.0119,1.4364,0.0037,59.4052,0.2069,2063.9632,24.4898,0,monomer
